equipment,definition
None,No meaningful equipment or external load
Bodyweight,The participant's body provides the principal resistance
Barbell,Straight free-weight bar loaded directly or with plates
Dumbbell,Hand-held free weight designed for unilateral or bilateral loading
Kettlebell,Hand-held offset free weight with an integral handle
Cable Machine,Pulley-based machine providing cable resistance
Selectorized Machine,Machine loaded through an integrated selectable weight stack
Plate Loaded Machine,Machine loaded directly with weight plates
Pull-Up Bar,Fixed overhead bar used for hanging and pulling
Bench,Stable exercise bench used as the principal support
Resistance Band,Elastic band or tube providing progressive resistance
Medicine Ball,Weighted ball intended for controlled or ballistic exercise
Sled,Loadable platform pushed or pulled across a surface
Farmer Handles,Paired loadable handles designed for loaded carries
Trap Bar,Hexagonal or open-frame bar enclosing the lifter
Landmine,Anchored barbell sleeve allowing arcing movement
Rowing Ergometer,Stationary flywheel rowing device
Stationary Bike,Stationary cycle ergometer
Ski Ergometer,Stationary double-pole ski ergometer
Olympic Lifting Platform,Stable platform intended for Olympic lifts and dropped loads
Strongman Log,Large neutral-grip implement used for strongman pressing
Safety Squat Bar,Cambered specialty bar with shoulder pads and forward handles
