catalogue_key,exercise_family,parent_exercise,canonical_name,variation_type,equipment,primary_movement_pattern,secondary_movement_pattern,primary_muscle_group,secondary_muscle_groups,difficulty,technical_complexity,facility_tier,commercial_importance,launch_priority,search_aliases,manufacturer_aliases,regional_aliases,future_module_tags,substitution_group,review_status,review_notes
demo_barbell_back_squat,Squat and Knee-Dominant Legs,Squat,Barbell Back Squat,Equipment Variation,Barbell,Squat,,Quadriceps,Glutes|Core,Intermediate,High,Strength Gym,Foundation,Essential,Back Squat,,,Strength|Coach,squat_bilateral,Draft,DEMONSTRATION ONLY — tests a foundational free-weight candidate and architecture admission rule.
demo_bodyweight_push_up,Chest and Horizontal Pressing,Push-Up,Push-Up,Base,Bodyweight,Horizontal Push,,Chest,Triceps|Shoulders|Core,Beginner,Low,No Equipment,Foundation,Essential,Press-Up,,Press Up,Strength|HIIT,push_horizontal,Draft,DEMONSTRATION ONLY — tests regional aliases and a no-equipment foundation candidate.
demo_cable_row,Back and Pulling,Row,Seated Cable Row,Equipment Variation,Cable Machine,Horizontal Pull,,Back,Biceps|Forearms and Grip,Beginner,Moderate,Commercial Gym,Popular,Essential,Cable Row|Low Cable Row,,,Strength,row_horizontal,Draft,DEMONSTRATION ONLY — tests a machine-based equipment variation.
demo_dumbbell_overhead_press,Shoulders,Overhead Press,Dumbbell Overhead Press,Equipment Variation,Dumbbell,Vertical Push,,Shoulders,Triceps|Core,Intermediate,Moderate,Home Gym,Popular,Recommended,Dumbbell Shoulder Press,,,Strength|Coach,press_vertical,Draft,DEMONSTRATION ONLY — tests common search expectation and an equipment substitute.
demo_farmers_carry,Core and Carries,Loaded Carry,Farmer's Carry,Meaningful Variation,Farmer Handles,Carry,Locomotion,Forearms and Grip,Core|Full Body,Intermediate,Moderate,Strongman Facility,Popular,Recommended,Farmer Carry|Farmers Walk,,Farmer's Walk,Strength|HIIT|Wearables,loaded_carry,Draft,DEMONSTRATION ONLY — tests carry classification and regional naming.
demo_front_plank,Core and Carries,Plank,Front Plank,Base,Bodyweight,Anti-Rotation,,Core,Shoulders|Glutes,Beginner,Low,No Equipment,Foundation,Essential,Plank,,,Strength|Mobility,core_anti_movement,Draft,DEMONSTRATION ONLY — tests a bodyweight isometric candidate.
demo_hip_thrust_barbell,"Glutes, Adductors and Abductors",Hip Thrust,Barbell Hip Thrust,Equipment Variation,Barbell|Bench,Hinge,,Glutes,Hamstrings|Core,Intermediate,Moderate,Home Gym,Popular,Recommended,Hip Thrust,,,Strength,hip_extension,Draft,DEMONSTRATION ONLY — tests multi-equipment validation.
demo_power_clean,Olympic Weightlifting,Clean,Power Clean,Meaningful Variation,Barbell|Olympic Lifting Platform,Olympic Lift,Hinge,Full Body,Glutes|Hamstrings|Back,Advanced,Very High,Olympic Facility,Sport Specific,Extended,Hang Power Clean,,,Strength|Coach,olympic_clean,Draft,DEMONSTRATION ONLY — tests advanced technical and sport-specific classification.
demo_sled_push,Conditioning,Sled Work,Sled Push,Equipment Variation,Sled,Locomotion,Horizontal Push,Full Body,Quadriceps|Glutes|Calves,Intermediate,Moderate,Strength Gym,Popular,Recommended,Prowler Push,,,Strength|HIIT|Wearables,sled_work,Draft,DEMONSTRATION ONLY — tests conditioning and equipment-substitute metadata.
demo_half_kneeling_hip_flexor_mobility,Strength-Relevant Mobility,Hip Flexor Mobility,Half-Kneeling Hip Flexor Mobility,Meaningful Variation,None,Mobility,,Hip Flexors,Glutes|Core,Beginner,Low,No Equipment,Foundation,Recommended,Half-Kneeling Hip Flexor Stretch,,,Mobility|Recovery,hip_flexor_mobility,Draft,DEMONSTRATION ONLY — tests strength-relevant mobility classification without clinical claims.
